Tópico;Subtópico;Perfil;Criticidade;Resumo;Description;Auditoria - Descrição
1;Kernel;Light;Alta;Bloqueio cramfs;Bloquear módulo cramfs persistentemente via modprobe.d e remover se carregado.;Verificar se módulo cramfs está bloqueado
2;Kernel;Light;Alta;Bloqueio squashfs;Bloquear módulo squashfs persistentemente via modprobe.d e remover se carregado.;Verificar se módulo squashfs está bloqueado
3;Kernel;Light;Média;Bloqueio udf;Bloquear módulo udf persistentemente via modprobe.d e remover se carregado.;Verificar se módulo udf está bloqueado
4;Kernel;Light;Alta;Bloqueio hfs;Bloquear módulo hfs persistentemente via modprobe.d e remover se carregado.;Verificar se módulo hfs está bloqueado
5;Kernel;Light;Alta;Bloqueio hfsplus;Bloquear módulo hfsplus persistentemente via modprobe.d e remover se carregado.;Verificar se módulo hfsplus está bloqueado
6;Kernel;Light;Alta;Bloqueio jffs2;Bloquear módulo jffs2 persistentemente via modprobe.d e remover se carregado.;Verificar se módulo jffs2 está bloqueado
7;Kernel;Light;Alta;Bloqueio freevxfs;Bloquear módulo freevxfs persistentemente via modprobe.d e remover se carregado.;Verificar se módulo freevxfs está bloqueado
8;Kernel;Full;Média;overlayfs ausente ou bloqueado;Em RHEL6 stock overlayfs nao existe e em OL6 com UEK bloquear o modulo overlay quando presente.;Checa se modulo overlay existe e se existir valida que nao esta carregado e esta bloqueado em modprobe.d
9;Kernel;Light;Alta;Bloqueio usb_storage;Bloquear módulo usb_storage persistentemente.;Verificar se usb_storage está bloqueado
10;Kernel;Full;Alta;Desabilitar modulo DCCP;Desabilitar o modulo dccp;Confere se dccp nao esta carregado e se existe regra de bloqueio
11;Kernel;Full;Alta;Desabilitar modulo SCTP quando nao requerido;Desabilitar o modulo sctp;Checa se sctp nao esta carregado e se esta bloqueado em modprobe
12;Kernel;Full;Alta;Desabilitar modulo RDS;Desabilitar o modulo rds;Valida que rds nao esta ativo e esta proibido em modprobe
13;Kernel;Full;Alta;Desabilitar modulo TIPC;Desabilitar o modulo tipc;Checa se tipc nao esta carregado e se ha bloqueio configurado
14;Kernel;Full;Alta;Core dumps restritos;Restringir core dumps em especial de binarios setuid;Verifica limite de core e valor de fs suid dumpable igual a zero
15;Kernel;Light;Alta;SUID dump off;Configurar fs.suid_dumpable=0 persistentemente.;Verificar valor de fs.suid_dumpable
16;Kernel;Full;Alta;NX XD ativo;Habilitar NX ou XD no hardware e no kernel;Checa suporte a nx na cpu e mensagem de ativacao no dmesg
17;Kernel;Full;Média;ASLR habilitado;Habilitar ASLR completo para espaco de enderecamento;Verifica kernel randomize va space igual a dois
18;Kernel;Light;Média;ASLR completo;Configurar ASLR completo via sysctl persistente.;Verificar randomize_va_space
19;Kernel;Full;Alta;perf event restrito quando suportado;Restringir perf event para usuarios nao privilegiados quando o kernel RHEL6/OL6 expuser kernel.perf_event_paranoid.;Verifica existencia do sysctl e se existir valida valor restritivo e se nao existir registra nao aplicavel por kernel
20;Kernel;Light;Média;perf_event restrito quando suportado;Configurar perf_event_paranoid via sysctl persistente somente quando suportado pelo kernel.;Verificar existencia e valor de perf_event_paranoid quando disponivel
21;Kernel;Light;Alta;dmesg restrito quando suportado;Configurar dmesg_restrict=1 quando o kernel disponibilizar o parametro e caso contrario controlar acesso local por privilegios e patching.;Verificar existencia e valor de dmesg_restrict quando disponivel
22;Kernel;Full;Alta;protected symlinks quando suportado;Ativar protecao de symlinks em diretorios sensiveis quando o kernel suportar fs.protected_symlinks.;Checa existencia do sysctl e se existir valida valor igual a um e se nao existir registra limitacao do kernel
23;Kernel;Light;Alta;Symlinks protegidos quando suportado;Configurar fs.protected_symlinks=1 persistentemente quando suportado pelo kernel.;Verificar protected_symlinks quando disponivel
24;Kernel;Light;Alta;Hardlinks protegidos quando suportado;Configurar fs.protected_hardlinks=1 persistentemente quando suportado pelo kernel.;Verificar protected_hardlinks quando disponivel
25;Filesystem;Full;Média;Particao dedicada para tmp;Usar particao ou ponto dedicado para tmp;Verifica montagem especifica para tmp via mount ou /proc/mounts
26;Filesystem;Full;Média;Particao dedicada para dev shm;Usar particao dedicada para dev shm;Checa montagem propria para dev shm via mount ou /proc/mounts
27;Filesystem;Full;Alta;Particao dedicada para var;Usar particao dedicada para var;Verifica montagem independente para var via mount ou /proc/mounts
28;Filesystem;Full;Alta;Particao dedicada para var tmp;Usar particao dedicada para var tmp;Checa montagem propria para var tmp via mount ou /proc/mounts
29;Filesystem;Full;Alta;Particao dedicada para var log;Usar particao dedicada para var log;Confere montagem especifica para var log via mount ou /proc/mounts
30;Filesystem;Full;Média;Particao dedicada para var log audit;Usar particao dedicada para var log audit;Verifica montagem independente para var log audit via mount ou /proc/mounts
31;Filesystem;Full;Alta;Particao dedicada para home;Usar particao dedicada para home;Checa montagem independente para home via mount ou /proc/mounts
32;Filesystem;Full;Alta;Particao dedicada para historico;Usar particao dedicada para historico;Verifica montagem especifica para historico via mount ou /proc/mounts
33;Filesystem;Full;Alta;Particao dedicada para crash;Usar particao dedicada para crash;Confere montagem dedicada para crash via mount ou /proc/mounts
34;Filesystem;Full;Média;Particao dedicada para UNIX;Usar particao dedicada para UNIX;Verifica montagem propria para UNIX via mount ou /proc/mounts
35;Filesystem;Light;Baixa;Nodev removíveis;Ajustar opções nodev nosuid noexec para mídias removíveis no fstab.;Verificar opções de montagem para mídias removíveis
36;Filesystem;Light;Baixa;Nodev partições críticas;Ajustar opções nodev nosuid para partições críticas.;Verificar opções de montagem críticas
37;Filesystem;Full;Alta;Opcoes de montagem seguras em tmp;Aplicar opcoes seguras em tmp;Checa se tmp possui opcoes nodev nosuid e noexec
38;Filesystem;Full;Alta;Opcoes de montagem seguras em dev shm;Aplicar opcoes seguras em dev shm;Verifica nodev nosuid noexec na montagem de dev shm
39;Filesystem;Full;Média;Opcoes de montagem seguras em var tmp;Aplicar opcoes seguras em var tmp;Checa opcoes nodev nosuid ou noexec em var tmp
40;Filesystem;Light;Alta;Segurança /var/log;Configurar /var/log com nodev nosuid. ;Verificar opções de montagem de /var/log/audit
41;Filesystem;Light;Alta;Segurança audit log;Configurar /var/log/audit com nodev nosuid.;Verificar opções de montagem de /var/log/audit
42;Filesystem;Light;Alta;Segurança /home;Configurar /home com nodev quando aplicável.;Verificar opções de montagem de /home
43;Filesystem;Full;Média;Opcoes de montagem seguras em midias removiveis;Aplicar opcoes seguras em midias removiveis;Verifica se midias removiveis estao definidas com opcoes seguras em fstab
44;Filesystem;Light;Alta;Sticky world-writable;Aplicar sticky bit em diretórios world writable locais.;Verificar sticky bit em diretórios world writable
45;Filesystem;Light;Baixa;Sticky /tmp;Aplicar sticky bit em /tmp.;Verificar sticky bit em /tmp
46;Filesystem;Light;Média;Sticky /var/tmp;Aplicar sticky bit em /var/tmp.;Verificar sticky bit em /var/tmp
47;Filesystem;Light;Alta;Sticky /dev/shm;Aplicar sticky bit em /dev/shm quando aplicável.;Verificar sticky bit em /dev/shm
48;Seguranca de Boot;Full;Baixa;Autofs desabilitado em servidores;Desabilitar autofs em servidores;Verifica se o servico autofs esta desabilitado
49;Seguranca de Boot;Full;Alta;Senha no GRUB Legacy configurada;Configurar senha de bootloader no GRUB Legacy do RHEL6;Verifica password --md5 em /boot/grub/grub.conf
50;Seguranca de Boot;Full;Média;Permissoes seguras no grub.conf;Configurar propriedade root e permissoes restritas em /boot/grub/grub.conf;Verifica dono root e modo restritivo do /boot/grub/grub.conf
51;Seguranca de Boot;Full;Média;Single user mode com autenticacao SysV;Exigir autenticacao no modo single user via sulogin em RHEL6;Confere SINGLE=/sbin/sulogin em /etc/sysconfig/init
56;Sistema;Light;Alta;Prelink removido;Remover prelink quando presente.;Verificar se prelink está instalado
57;Sistema;Light;Baixa;xinetd removido;Desabilitar ou remover xinetd quando não requerido.;Verificar presença de xinetd
58;Sistema;Light;Alta;ntpd ativo;Habilitar o servico ntpd como sincronizacao de tempo aprovada no RHEL6.;Verificar status do ntpd via service
59;Sistema;Light;Baixa;Fontes NTP confiaveis;Configurar fontes de tempo confiaveis em /etc/ntp.conf.;Verificar servidores configurados no ntp.conf
